Tier,8yd Clean Soil,8yd Clean Concrete,8yd Mixed Soil,10yd Clean Soil,10yd Clean Concrete,10yd Mixed Soil,10yd General Debris,15yd General Debris,20yd General Debris,25yd General Debris,30yd General Debris,40yd General Debris
GA,571,571,782.75,608.50,608.50,899.20,581.60,629.50,687,744.50,755,881
GB,591,591,802.75,628.50,628.50,919.20,601.60,649.50,707,764.50,775,958.40
GBb,591,591,802.75,628.50,628.50,919.20,601.60,609.50,667,764.50,775,958.40
GC,651,651,862.75,688.50,688.50,979.20,661.60,709.50,767,824.50,835,961
GD,652.50,652.50,882.50,721.50,721.50,966,658.25,715.75,773.25,830.75,911.25,1049.25
GE,676,676,887.75,713.50,713.50,1004.20,686.60,734.50,792,849.50,860,986
GF,697.25,697.25,907.25,760.25,760.25,998.87,702.50,755,807.50,860,933.50,1059.50
GG,701,701,887.75,738.50,738.50,1029.20,711.60,759.50,817,874.50,885,1011
GH,726,726,937.75,763.50,763.50,1054.20,736.60,784.50,842,899.50,910,1036
GI,801,801,1012.75,838.50,838.50,1129.20,811.60,859.50,917,974.50,985,1111
GJ,807.50,807.50,1017.50,870.50,870.50,1101.50,812.75,865.25,917.75,970.25,1043.75,1169.75
Override 94662 (Oakland),591,591,802.75,628.50,628.50,919.20,601.60,649.50,707,764.50,775,901
Override 94557 (Mt Eden),652.50,652.50,882.50,721.50,721.50,966,658.25,649.50,773.25,830.75,911.25,1049.25
Override 94303 (Palo Alto),726,726,937.75,738.50,738.50,1054.20,736.60,784.50,817,874.50,910,1036
Override 95056 (Santa Clara),701,701,912.75,738.50,738.50,1029.20,711.60,759.50,817,874.50,885,1011
